original_variable_names,simplified_names
Country Name,country
country recoded,country recoded
Country Code,country_code
year,year
"Domestic private health expenditure per capita, PPP  (current international $)",private_health_exppc_ppp
"Domestic general government health expenditure per capita, PPP (current international $)",government_health_exppc_ppp
"External health expenditure per capita, PPP (current international $)",external_health_exppc_ppp
Diabetes prevalence (% of population ages 20 to 79),diabetes_rate
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",disease_mortality_rate
"Mortality rate, infant (per 1,000 live births)",infant_mortality_rate
"Mortality rate, under-5 (per 1,000)",under_5_mortality_rate
"Population, total",total_population
"Population, male",male_population
"Population, female",female_population
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",total_alcohol_consumption_per_capita
Prevalence of current tobacco use (% of adults),tobacco_use_rate
"Death rate, crude (per 1,000 people)",crude_deaths_per_thousand
"Literacy rate, adult total (% of people ages 15 and above)",adult_literacy_rate
"Immunization, BCG (% of one-year-old children)",bcg_immunization_rate
"Immunization, DPT (% of children ages 12-23 months)",dpt_immunization_rate
"Immunization, HepB3 (% of one-year-old children)",hepb3_immunization_rate
"Immunization, Hib3 (% of children ages 12-23 months)",hib3_immunization_rate
"Immunization, measles (% of children ages 12-23 months)",measles_immunization_rate
"Immunization, measles second dose (% of children by the nationally recommended age)",measles_second_dose_immunization_rate
"Immunization, Pol3 (% of one-year-old children)",pol3_immunization_rate
"GDP per capita, PPP (current international $)",gdp_per_capita_ppp
"GDP, PPP (current international $)",gdp_ppp
"GNI, PPP (current international $)",gni_ppp
"GNI per capita, PPP (current international $)",gni_per_capita_ppp
Adjusted net national income (current US$),adjusted_net_national_income_usd
Consumer price index (2010 = 100),consumer_price_index
"Unemployment, total (% of total labor force) (national estimate)",unemployment_rate_national_estimate
"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_rate_ilo_estimate
Urban population (% of total population),urban_population_rate
"Human Capital Index (HCI): Learning-Adjusted Years of School, Total",average_years_of_schooling
"Human Capital Index (HCI): Learning-Adjusted Years of School, Male",average_yeras_of_schooling_male
"Human Capital Index (HCI): Learning-Adjusted Years of School, Female",average_years_of_schooling_female
Prevalence of overweight (% of adults),obesity_rate_adults
"Prevalence of underweight, weight for age (% of children under 5)",underweight_rate_children_under_5
"Life expectancy at birth, female (years)",life_expectancy_at_birth_female
"Life expectancy at birth, male (years)",life_expectancy_at_birth_male
"Life expectancy at birth, total (years)",life_expectancy_at_birth
Food supply (kcal per capita per day),kilocalorie_supply_per_capita
Food supply (Protein g per capita per day),protein_g_supply_per_capita
Food supply (Fat g per capita per day),fat_g_supply_per_capita
